origine,sensor_name,mesures_en_fenetre,mesures_hors_fenetre,moyenne_en_fenetre,moyenne_hors_fenetre,ecart_pct,p_value_mann_whitney,reaction_significative
réel — janvier,temperature_c,104,2413,58.5696,57.5615,1.75,0.182488,False
réel — janvier,vibration_mm_s,150,1408,2.886,2.8391,1.65,0.973881,False
réel — 2026-S1,temperature_c,777,14325,59.1975,57.648,2.69,0.0,True
réel — 2026-S1,vibration_mm_s,508,8765,3.049,2.8384,7.42,0.0,True
PROC-GEN-MARG-V1,temperature_c,39,953,57.9459,57.8683,0.13,0.892952,False
PROC-GEN-MARG-V1,vibration_mm_s,39,953,2.8964,2.8727,0.83,0.589776,False
PROC-GEN-SMOTE-V1,temperature_c,39,920,57.749,57.9225,-0.3,0.758226,False
PROC-GEN-SMOTE-V1,vibration_mm_s,39,801,2.8562,2.8185,1.34,0.407124,False
